# R2 invariant corpus. Generated from audited invariant/smoke sources; target maps must join by id and grep strong_needle from this file.
# id	source	strong_needle	target_constraint	notes
INV-060	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	CSG verify --assessment	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-061	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	suggest-affected-sections.sh --intent	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-062	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	a plan-blocking unknown → resolve first	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-063	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	before changing production code	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-064	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	find AND prove the cause	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-065	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	root cause not proven → do NOT fix	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-066	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	should this exist at all	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-067	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	repo-wide pre-delete grep	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-068	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	git-history-freshness	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-069	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	Caller-grep is a MINIMUM	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-070	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	only if a vault MCP is connected	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-071	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	never structural merges	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-072	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	do not send it to reviewers	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-073	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	hooks/plan-blocker-gate.sh	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-074	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	required before spawning reviewers	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-075	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	A cut survives only if no reviewer finds one	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-076	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	tests green before+after	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-077	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	No self-reported count	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-078	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	hooks/resolve-review-gate.sh	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-079	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	--round <N> --expect <lensCSV>	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-080	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	stop + ask, gate CLOSED	core-always-or-approved-target	class=CORE-ALWAYS+GATE-CHECKABLE; current_target=SKILL.md
INV-081	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	never auto-proceed	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-082	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	Status: backlog	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-083	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	resolve-build-gate.sh	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-084	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	Approve to build, change something, or defer to backlog?	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-085	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	do NOT build	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-086	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	production code never rides along	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-087	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	no proof → don't delete	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-088	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	don't burn a blind second attempt	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-089	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	hooks/red-green-gate.sh	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-090	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	--mode fix	core-always-or-approved-target	class=GATE-CHECKABLE; current_target=SKILL.md
INV-091	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	hooks/lsp-diagnostics.sh	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-092	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	re-run the decisive command	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-093	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	back to phase 5	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-094	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	--kind review --write	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-095	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	review light	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-096	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	bug-regression	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-097	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	add the third when the diff touches hooks	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-098	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	CANDIDATE <SEVERITY> <ref> :: <claim> :: verify=<smallest check>	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-099	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	active refutation attempt	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-100	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	never raw candidates	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-101	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	never silently skip the advisory channel	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-102	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	test-weakening-scan.sh	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-103	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	secret-content-scan.sh	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-104	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	--expect code-verified	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-105	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	Wait for explicit OK	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-106	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	no co-author/AI trailer	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-107	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	never staged or committed	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-108	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	Never batch slices	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-109	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	MR review-run --run	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-110	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	--skip "<reason>"	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-111	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	a CLOSED result blocks completion	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-112	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	neither `.kimiflow/` nor repo files store the key	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-113	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	never patches skills or writes external notes blindly	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-114	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	SKILL-DRAFTS	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-115	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	PMS refresh --changed	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-116	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	map-staleness-nudge.sh	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-117	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	mark-done <id> --commit <sha> --write	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-118	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	never auto-guess	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-119	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	improvements-staleness-nudge.sh	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-120	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	Only after the commit gate and learning review are open	core-always-or-approved-target	class=CORE-ALWAYS+GATE-CHECKABLE; current_target=SKILL.md
INV-121	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	never gates, cost, quality, or behavior	core-always-or-approved-target	class=CORE-ALWAYS+GATE-CHECKABLE; current_target=SKILL.md
INV-122	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	BEFORE fan-out	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-123	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	uncommitted	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-124	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	never wired into CI	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-125	2026-07-02-independent-merge-review.md step1 deletion-blind-spot	Default stays lean (1 implementer, 1–2 reviewers)	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-126	2026-07-02-independent-merge-review.md step1 deletion-blind-spot	The budget applies per fan-out decision, not cumulatively per run	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-127	2026-07-02-independent-merge-review.md step1 deletion-blind-spot	Same-seat substitutions are not new spawns	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-128	2026-07-02-independent-merge-review.md step1 deletion-blind-spot	Phase colors — announce each phase with its marker	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-129	2026-07-02-independent-merge-review.md step1 deletion-blind-spot	then re-presents the pre-build summary when the build-gate is	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
SMOKE-SKILL-001	hooks/smoke-install.sh + hooks/smoke-install-codex.sh + 2026-07-02-invariant-check.sh:SKILL smoke	Launcher / menu	literal-smoke-target	class=SMOKE-CONTRACT; current_target=SKILL.md
SMOKE-SKILL-002	hooks/smoke-install.sh + hooks/smoke-install-codex.sh + 2026-07-02-invariant-check.sh:SKILL smoke	Natural mode aliases	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
SMOKE-SKILL-003	hooks/smoke-install.sh + hooks/smoke-install-codex.sh + 2026-07-02-invariant-check.sh:SKILL smoke	pre-build approval stop	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
SMOKE-SKILL-004	hooks/smoke-install.sh + hooks/smoke-install-codex.sh + 2026-07-02-invariant-check.sh:SKILL smoke	mandatory micro-grill	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
SMOKE-SKILL-005	hooks/smoke-install.sh + hooks/smoke-install-codex.sh + 2026-07-02-invariant-check.sh:SKILL smoke	Vault Pulse	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
SMOKE-SKILL-006	hooks/smoke-install.sh + hooks/smoke-install-codex.sh + 2026-07-02-invariant-check.sh:SKILL smoke	Project Map Bootstrap	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
SMOKE-SKILL-007	hooks/smoke-install.sh + hooks/smoke-install-codex.sh + 2026-07-02-invariant-check.sh:SKILL smoke	improvements-status.sh	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
SMOKE-SKILL-008	hooks/smoke-install.sh + hooks/smoke-install-codex.sh + 2026-07-02-invariant-check.sh:SKILL smoke	refresh --changed	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
SMOKE-SKILL-009	hooks/smoke-install.sh + hooks/smoke-install-codex.sh + 2026-07-02-invariant-check.sh:SKILL smoke	Agentic Readiness Layer	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
SMOKE-SKILL-010	hooks/smoke-install.sh + hooks/smoke-install-codex.sh + 2026-07-02-invariant-check.sh:SKILL smoke	Active Session Contract	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
SMOKE-SKILL-011	hooks/smoke-install.sh + hooks/smoke-install-codex.sh + 2026-07-02-invariant-check.sh:SKILL smoke	Background Handles	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
SMOKE-SKILL-012	hooks/smoke-install.sh + hooks/smoke-install-codex.sh + 2026-07-02-invariant-check.sh:SKILL smoke	Current-State Pulse / Gate	core-always-or-approved-target	class=GATE-CHECKABLE; current_target=SKILL.md
SMOKE-SKILL-013	hooks/smoke-install.sh + hooks/smoke-install-codex.sh + 2026-07-02-invariant-check.sh:SKILL smoke	--verify-feature <feature-or-path>	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
SMOKE-SKILL-014	hooks/smoke-install.sh + hooks/smoke-install-codex.sh + 2026-07-02-invariant-check.sh:SKILL smoke	Memory Router & Learning Loop	literal-smoke-target	class=SMOKE-CONTRACT; current_target=SKILL.md
